,Player name,Team,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
0,Steven Adams,OKC,63,1680,26,283,478,684,94,146,207,376,583,51,117,201,67
1,Bam Adebayo,MIA,72,2417,22,440,790,1146,204,368,176,559,735,82,264,382,93
2,LaMarcus Aldridge,SAS,53,1754,34,391,793,1001,74,129,103,289,392,36,158,191,87
3,Kyle Alexander,MIA,2,13,23,1,2,2,1,0,2,1,3,0,0,0,0
4,Nickeil Alexander-Walker,NOP,47,591,21,98,266,267,54,89,9,75,84,17,25,37,8
5,Grayson Allen,MEM,38,718,24,117,251,330,33,52,8,77,85,10,39,45,2
6,Jarrett Allen,BRK,70,1852,21,302,465,775,77,110,216,455,671,40,171,270,92
7,Kadeem Allen,NYK,10,117,27,19,44,50,8,21,2,7,9,5,7,11,2
8,Al-Farouq Aminu,ORL,18,380,29,25,86,78,17,21,24,63,87,18,19,29,8
9,Justin Anderson,BRK,10,107,26,10,38,28,4,8,1,20,21,0,2,4,6
10,Kyle Anderson,MEM,67,1330,26,157,331,390,66,162,58,227,285,54,52,78,37
11,Ryan Anderson,HOU,2,14,31,2,7,5,1,2,0,7,7,1,0,0,0
12,Giannis Antetokounmpo,MIL,63,1917,25,685,1238,1857,230,354,140,716,856,61,398,629,66
13,Kostas Antetokounmpo,LAL,5,20,22,3,3,7,1,2,2,1,3,0,1,2,0
14,Thanasis Antetokounmpo,MIL,20,129,27,24,48,55,12,15,12,12,24,7,7,17,2
15,Carmelo Anthony,POR,58,1902,35,336,782,895,100,85,71,297,368,49,136,161,27
16,OG Anunoby,TOR,69,2066,22,286,566,733,79,108,80,284,364,96,72,102,45
17,Ryan Arcidiacono,CHI,58,930,25,90,220,261,37,96,20,90,110,27,27,38,3
18,Trevor Ariza,TOT,53,1493,34,142,324,423,56,91,34,212,246,69,62,74,15
19,Trevor Ariza,SAC,32,791,34,64,165,192,28,50,21,125,146,35,21,27,7
20,Trevor Ariza,POR,21,702,34,78,159,231,28,41,13,87,100,34,41,47,8
21,D.J. Augustin,ORL,57,1420,32,184,461,599,86,262,22,100,122,34,161,181,1
22,Deandre Ayton,PHO,38,1236,21,310,568,690,80,72,147,289,436,26,67,89,58
23,Dwayne Bacon,CHO,39,687,24,85,244,224,37,52,15,85,100,23,35,53,2
24,Marvin Bagley III,SAC,13,334,20,78,167,185,18,10,29,68,97,6,25,31,12
25,Lonzo Ball,NOP,63,2025,22,277,687,745,193,438,71,312,383,88,43,76,38
26,Mo Bamba,ORL,62,878,21,132,286,332,42,42,100,202,302,23,31,46,86
27,J.J. Barea,DAL,29,450,35,85,207,222,38,112,10,43,53,5,20,22,2
28,Harrison Barnes,SAC,72,2482,27,365,793,1046,88,159,77,278,355,43,214,267,12
29,RJ Barrett,NYK,56,1704,19,292,727,803,124,143,50,229,279,55,156,254,17
30,Will Barton,DEN,58,1916,29,332,738,874,88,212,76,289,365,61,102,133,29
31,Keita Bates-Diop,TOT,44,744,24,100,234,288,17,30,25,102,127,19,54,75,24
32,Keita Bates-Diop,MIN,37,646,24,87,206,251,14,30,21,89,110,17,46,65,20
33,Keita Bates-Diop,DEN,7,98,24,13,28,37,3,0,4,13,17,2,8,10,4
34,Nicolas Batum,CHO,22,505,31,28,81,79,22,66,25,75,100,17,9,10,8
35,Aron Baynes,PHO,42,934,33,183,381,481,50,67,71,166,237,10,56,75,23
36,Kent Bazemore,TOT,68,1688,30,200,534,597,91,93,27,267,294,74,113,147,40
37,Kent Bazemore,POR,43,1111,30,113,326,340,60,61,13,159,172,45,58,72,31
38,Kent Bazemore,SAC,25,577,30,87,208,257,31,32,14,108,122,29,55,75,9
39,Darius Bazley,OKC,61,1130,19,125,317,342,45,41,30,216,246,23,43,62,41
40,Bradley Beal,WAS,57,2053,26,593,1303,1741,194,347,52,190,242,71,385,457,23
41,Malik Beasley,TOT,55,1209,23,227,534,615,57,75,18,130,148,40,54,66,8
42,Malik Beasley,DEN,41,746,23,117,301,325,36,48,9,68,77,31,33,38,6
43,Malik Beasley,MIN,14,463,23,110,233,290,21,27,9,62,71,9,21,28,2
44,Marco Belinelli,SAS,57,883,33,123,314,361,19,69,7,92,99,12,48,58,1
45,Jordan Bell,TOT,29,256,25,35,67,93,21,16,30,51,81,3,19,31,10
46,Jordan Bell,MIN,27,235,25,32,60,83,18,14,28,50,78,2,17,29,10
47,Jordan Bell,MEM,2,21,25,3,7,10,3,2,2,1,3,1,2,2,0
48,DeAndre' Bembry,ATL,43,915,25,104,228,249,60,81,34,118,152,55,26,48,19
49,Dragan Bender,TOT,16,286,22,41,92,107,21,28,16,57,73,4,10,14,9
50,Dragan Bender,MIL,7,91,22,10,21,26,5,9,0,20,20,0,2,3,5
51,Dragan Bender,GSW,9,195,22,31,71,81,16,19,16,37,53,4,8,11,4
52,Dāvis Bertāns,WAS,54,1583,27,265,610,834,59,92,35,210,245,37,104,122,33
53,Patrick Beverley,LAC,51,1342,31,147,341,405,66,183,57,209,266,54,31,47,25
54,Khem Birch,ORL,48,922,27,73,143,212,31,50,91,129,220,20,66,101,23
55,Goga Bitadze,IND,54,471,20,70,150,172,28,23,25,81,106,10,24,33,37
56,Bismack Biyombo,CHO,53,1029,27,151,278,393,48,50,120,188,308,10,91,151,49
57,Nemanja Bjelica,SAC,72,2011,31,314,653,831,99,203,111,347,458,62,69,84,40
58,Eric Bledsoe,MIL,61,1646,30,334,703,911,148,328,43,239,282,57,169,214,26
59,Bogdan Bogdanović,SAC,61,1766,27,337,766,924,102,207,26,181,207,64,86,116,15
60,Bojan Bogdanović,UTA,63,2083,30,418,935,1275,159,131,39,220,259,34,250,277,7
61,Bol Bol,DEN,7,87,20,14,28,40,10,6,5,14,19,2,8,10,6
62,Jonah Bolden,TOT,7,47,24,4,11,10,2,0,3,6,9,3,2,4,2
63,Jonah Bolden,PHI,4,14,24,2,3,4,2,0,0,1,1,1,0,2,0
64,Jonah Bolden,PHO,3,33,24,2,8,6,0,0,3,5,8,2,2,2,2
65,Marques Bolden,CLE,1,3,21,0,0,0,0,0,0,2,2,1,0,0,0
66,Jordan Bone,DET,10,53,22,5,20,12,2,8,0,4,4,1,0,0,0
67,Isaac Bonga,WAS,66,1250,20,118,234,330,58,76,71,151,222,45,69,85,22
68,Devin Booker,PHO,70,2512,23,627,1283,1863,264,456,29,268,297,49,468,509,18
69,Chris Boucher,TOR,62,819,27,141,299,411,28,26,107,170,277,22,91,116,61
70,Brian Bowen,IND,6,31,21,3,10,6,1,0,1,6,7,0,0,0,1
71,Ky Bowman,GSW,45,1015,22,134,321,335,70,131,24,97,121,44,34,41,10
72,Avery Bradley,LAL,49,1186,29,170,383,423,47,63,18,97,115,43,20,24,5
73,Tony Bradley,UTA,58,663,22,126,189,285,30,23,111,156,267,14,30,46,33
74,Jarrell Brantley,UTA,9,96,23,10,28,24,7,11,2,18,20,3,1,2,5
75,Ignas Brazdeikis,NYK,9,53,21,6,22,17,2,4,2,3,5,0,4,5,1
76,Corey Brewer,SAC,5,33,33,2,4,5,2,2,2,6,8,4,1,3,0
77,Mikal Bridges,PHO,73,2042,23,247,484,667,73,129,66,226,292,102,103,122,46
78,Miles Bridges,CHO,65,1995,21,319,753,843,95,114,88,274,362,40,106,131,48
79,Oshae Brissett,TOR,19,135,21,13,36,37,7,7,9,17,26,4,8,10,1
80,Ryan Broekhoff,DAL,17,180,29,22,59,71,6,11,5,38,43,5,7,8,4
81,Malcolm Brogdon,IND,54,1666,27,326,744,893,131,381,46,216,262,35,166,186,10
82,Dillon Brooks,MEM,73,2112,24,435,1068,1181,124,150,68,175,243,63,164,203,27
83,Bruce Brown,DET,58,1634,23,198,447,517,100,230,61,213,274,63,88,119,29
84,Charlie Brown Jr.,ATL,10,40,22,6,19,20,3,2,2,2,4,2,5,5,2
85,Jaylen Brown,BOS,57,1934,23,427,887,1159,125,118,62,302,364,65,176,243,20
86,Moses Brown,POR,9,33,20,4,10,11,3,1,3,11,14,1,3,8,1
87,Sterling Brown,MIL,52,767,24,95,256,266,42,51,31,152,183,29,32,40,7
88,Troy Brown Jr.,WAS,69,1782,20,273,622,716,79,178,76,307,383,85,109,139,7
89,Jalen Brunson,DAL,57,1022,23,181,388,466,66,188,22,112,134,22,61,75,4
90,Thomas Bryant,WAS,46,1147,22,243,418,609,53,83,98,233,331,25,86,116,49
91,Reggie Bullock,NYK,29,684,28,90,224,234,19,42,13,55,68,25,17,21,3
92,Trey Burke,TOT,33,520,27,94,209,243,21,83,16,34,50,16,23,29,2
93,Trey Burke,PHI,25,329,27,59,127,147,12,53,15,20,35,7,13,18,1
94,Trey Burke,DAL,8,191,27,35,82,96,9,30,1,14,15,9,10,11,1
95,Alec Burks,TOT,66,1754,28,321,768,993,91,189,48,234,282,62,235,265,17
96,Alec Burks,GSW,48,1390,28,244,601,773,76,151,37,189,226,50,201,224,17
97,Alec Burks,PHI,18,364,28,77,167,220,15,38,11,45,56,12,34,41,0
98,Deonte Burton,OKC,39,356,26,43,125,104,19,17,7,50,57,7,8,14,10
99,Jimmy Butler,MIA,58,1959,30,345,758,1157,127,350,106,280,386,103,438,525,32
100,Bruno Caboclo,TOT,30,244,24,38,89,90,13,12,23,37,60,15,8,9,17
101,Bruno Caboclo,MEM,22,192,24,28,69,62,7,10,17,27,44,10,2,3,12
102,Bruno Caboclo,HOU,8,52,24,10,20,28,6,2,6,10,16,5,6,6,5
103,Devontae Cacok,LAL,1,9,23,3,6,6,0,1,2,3,5,0,0,0,0
104,Kentavious Caldwell-Pope,LAL,69,1762,26,237,507,645,62,111,38,104,142,57,79,102,14
105,Vlatko Čančar,DEN,14,45,22,6,15,17,3,3,5,5,10,1,4,4,1
106,Clint Capela,HOU,39,1279,25,244,388,543,63,48,168,369,537,33,55,104,72
107,DeMarre Carroll,TOT,24,290,33,25,66,87,17,25,12,43,55,8,29,42,5
108,DeMarre Carroll,SAS,15,135,33,9,29,33,10,11,7,24,31,2,12,20,2
109,DeMarre Carroll,HOU,9,155,33,16,37,54,7,14,5,19,24,6,17,22,3
110,Jevon Carter,PHO,58,945,24,101,243,287,32,84,30,88,118,47,23,27,17
111,Vince Carter,ATL,60,876,43,107,304,298,33,48,18,106,124,23,23,29,25
112,Wendell Carter Jr.,CHI,43,1256,20,183,343,484,72,51,139,266,405,33,112,152,36
113,Michael Carter-Williams,ORL,45,833,28,111,260,323,52,109,46,101,147,49,79,95,22
114,Alex Caruso,LAL,64,1175,25,120,291,349,53,124,17,106,123,70,69,94,18
115,Willie Cauley-Stein,TOT,54,1097,26,175,302,390,40,70,84,231,315,49,40,66,61
116,Willie Cauley-Stein,GSW,41,940,26,144,257,323,35,60,71,184,255,45,35,57,50
117,Willie Cauley-Stein,DAL,13,157,26,31,45,67,5,10,13,47,60,4,5,9,11
118,Tyson Chandler,HOU,26,219,37,14,18,34,8,6,25,41,66,6,6,13,8
119,Wilson Chandler,BRK,35,734,32,74,183,205,34,39,11,134,145,16,20,23,12
120,Joe Chealey,CHO,4,33,24,0,7,2,2,1,0,0,0,4,2,2,0
121,Zylan Cheatham,NOP,4,51,24,6,9,12,4,3,3,6,9,1,0,0,1
122,Chris Chiozza,TOT,28,401,24,55,140,142,32,83,9,44,53,21,5,5,4
123,Chris Chiozza,WAS,10,123,24,10,34,27,9,28,0,15,15,10,0,0,2
124,Chris Chiozza,BRK,18,278,24,45,106,115,23,55,9,29,38,11,5,5,2
125,Marquese Chriss,GSW,59,1196,22,210,385,548,78,114,114,251,365,39,120,156,62
126,Gary Clark,TOT,42,567,25,54,133,156,10,17,37,73,110,6,9,10,22
127,Gary Clark,HOU,18,212,25,23,59,70,2,12,11,29,40,2,6,7,7
128,Gary Clark,ORL,24,355,25,31,74,86,8,5,26,44,70,4,3,3,15
129,Brandon Clarke,MEM,58,1300,23,296,479,700,55,81,92,253,345,32,85,112,48
130,Jordan Clarkson,TOT,71,1705,27,394,867,1078,97,136,50,137,187,46,138,165,16
131,Jordan Clarkson,CLE,29,666,27,144,326,423,39,70,21,48,69,17,76,86,8
132,Jordan Clarkson,UTA,42,1039,27,250,541,655,58,66,29,89,118,29,62,79,8
133,Nic Claxton,BRK,15,187,20,27,48,66,9,16,19,25,44,1,11,21,8
134,Chris Clemons,HOU,33,291,22,57,142,161,19,27,4,26,30,9,10,11,6
135,Antonius Cleveland,DAL,11,46,25,4,14,11,2,1,2,5,7,1,3,5,3
136,Amir Coffey,LAC,18,159,22,23,54,58,8,14,4,12,16,5,6,11,2
137,John Collins,ATL,41,1363,22,353,605,885,75,60,116,300,416,31,120,150,66
138,Zach Collins,POR,11,290,22,32,68,77,14,16,25,44,69,5,6,8,5
139,Mike Conley,UTA,47,1363,32,232,567,675,92,208,33,118,151,36,115,139,5
140,Pat Connaughton,MIL,67,1243,27,137,301,360,52,107,60,224,284,25,31,40,31
141,Quinn Cook,LAL,44,508,26,91,214,224,33,49,11,40,51,12,11,14,2
142,Tyler Cook,TOT,13,54,22,8,12,23,3,1,6,8,14,3,7,8,0
143,Tyler Cook,CLE,11,35,22,7,10,19,1,1,4,6,10,1,5,6,0
144,Tyler Cook,DEN,2,19,22,1,2,4,2,0,2,2,4,2,2,2,0
145,Robert Covington,TOT,70,2137,29,305,723,870,103,88,63,400,463,115,99,124,93
146,Robert Covington,MIN,48,1411,29,216,496,615,73,56,36,251,287,80,75,94,45
147,Robert Covington,HOU,22,726,29,89,227,255,30,32,27,149,176,35,24,30,48
148,Allen Crabbe,TOT,37,653,27,63,177,172,17,33,11,66,77,15,10,14,4
149,Allen Crabbe,ATL,28,522,27,52,143,143,12,28,10,55,65,15,9,12,4
150,Allen Crabbe,MIN,9,131,27,11,34,29,5,5,1,11,12,0,1,2,0
151,Torrey Craig,DEN,58,1072,29,124,269,315,25,47,63,126,189,23,22,36,36
152,Jamal Crawford,BRK,1,6,39,2,4,5,0,3,0,0,0,0,0,0,0
153,Jae Crowder,TOT,65,1875,29,226,563,684,69,161,52,332,384,72,97,125,24
154,Jae Crowder,MEM,45,1322,29,147,399,447,54,125,40,237,277,47,75,95,14
155,Jae Crowder,MIA,20,553,29,79,164,237,15,36,12,95,107,25,22,30,10
156,Jarrett Culver,MIN,63,1506,20,230,569,580,81,110,70,142,212,57,54,117,38
157,Seth Curry,DAL,64,1576,29,284,574,793,62,124,27,118,145,38,80,97,9
158,Stephen Curry,GSW,5,139,31,33,82,104,16,33,4,22,26,5,26,26,2
159,Troy Daniels,TOT,47,532,28,72,186,200,12,17,12,40,52,11,10,16,3
160,Troy Daniels,LAL,41,456,28,62,158,174,9,14,12,34,46,8,10,16,3
161,Troy Daniels,DEN,6,76,28,10,28,26,3,3,0,6,6,3,0,0,0
162,Anthony Davis,LAL,62,2131,26,551,1096,1618,154,200,142,435,577,91,444,525,143
163,Ed Davis,UTA,28,303,30,22,46,51,13,12,35,70,105,11,7,14,9
164,Terence Davis,TOR,72,1209,22,199,436,543,76,115,50,187,237,39,51,59,14
165,Dewayne Dedmon,TOT,44,774,30,102,255,256,57,22,60,189,249,25,30,36,41
166,Dewayne Dedmon,SAC,34,541,30,69,171,175,47,15,46,121,167,15,23,28,26
167,Dewayne Dedmon,ATL,10,233,30,33,84,81,10,7,14,68,82,10,7,8,15
168,Matthew Dellavedova,CLE,57,821,29,62,175,177,59,180,18,57,75,20,32,37,2
169,DeMar DeRozan,SAS,68,2316,30,557,1049,1504,164,380,44,331,375,70,381,451,20
170,Cheick Diallo,PHO,47,479,23,92,142,219,32,22,30,101,131,11,34,39,12
171,Hamidou Diallo,OKC,46,896,21,132,296,318,51,36,44,123,167,37,38,63,9
172,Gorgui Dieng,TOT,63,1096,30,166,364,464,60,73,91,263,354,51,78,101,59
173,Gorgui Dieng,MIN,46,778,30,124,277,341,44,58,73,183,256,37,47,59,42
174,Gorgui Dieng,MEM,17,318,30,42,87,123,16,15,18,80,98,14,31,42,17
175,Spencer Dinwiddie,BRK,64,1994,26,424,1021,1318,174,432,32,189,221,40,347,446,21
176,Donte DiVincenzo,MIL,66,1520,23,232,510,610,90,154,66,252,318,85,63,86,20
177,Luka Dončić,DAL,61,2047,20,581,1255,1759,260,538,78,495,573,62,426,562,14
178,Luguentz Dort,OKC,36,820,20,86,218,244,22,27,24,57,81,31,42,53,4
179,Damyean Dotson,NYK,48,836,25,120,290,321,21,57,10,81,91,23,22,33,4
180,Sekou Doumbouya,DET,38,754,19,92,236,243,35,19,20,98,118,20,31,46,8
181,PJ Dozier,DEN,29,412,23,65,157,168,27,63,10,45,55,14,21,29,6
182,Goran Dragić,MIA,59,1663,33,319,724,953,144,301,29,158,187,40,191,246,10
183,Andre Drummond,TOT,57,1879,26,418,784,1010,203,152,250,614,864,109,169,294,93
184,Andre Drummond,DET,49,1654,26,360,679,870,174,138,226,549,775,97,149,255,82
185,Andre Drummond,CLE,8,225,26,58,105,140,29,14,24,65,89,12,20,39,11
186,Jared Dudley,LAL,45,364,34,24,60,68,8,28,6,46,52,15,2,2,3
187,Kris Dunn,CHI,51,1269,25,152,342,373,68,173,23,163,186,101,40,54,17
188,Carsen Edwards,BOS,37,351,21,42,128,121,15,24,6,41,47,12,13,19,4
189,Henry Ellenson,BRK,5,15,23,1,7,2,0,1,2,4,6,0,0,0,0
190,Wayne Ellington,NYK,36,558,32,61,174,183,18,44,4,61,65,13,11,13,4
191,Joel Embiid,PHI,51,1506,25,382,801,1172,159,152,141,452,593,45,351,435,65
192,James Ennis III,TOT,69,1265,29,160,359,454,58,63,71,174,245,35,79,98,22
193,James Ennis III,PHI,49,776,29,100,226,285,31,41,48,102,150,23,48,61,14
194,James Ennis III,ORL,20,489,29,60,133,169,27,22,23,72,95,12,31,37,8
195,Drew Eubanks,SAS,22,272,22,43,67,107,21,15,28,57,85,5,20,26,17
196,Jacob Evans,TOT,29,418,22,45,134,128,25,31,9,32,41,11,25,29,12
197,Jacob Evans,GSW,27,414,22,45,133,128,25,31,9,32,41,11,25,29,12
198,Jacob Evans,MIN,2,4,22,0,1,0,0,0,0,0,0,0,0,0,0
199,Dante Exum,TOT,35,485,24,56,119,159,31,40,12,55,67,13,32,43,8
200,Dante Exum,UTA,11,83,24,10,23,24,10,7,3,9,12,1,2,2,2
201,Dante Exum,CLE,24,402,24,46,96,135,21,33,9,46,55,12,30,41,6
202,Tacko Fall,BOS,7,33,24,11,14,23,3,1,1,14,15,1,1,3,4
203,Derrick Favors,NOP,51,1243,28,209,339,459,55,81,163,338,501,30,40,71,46
204,Cristiano Felício,CHI,22,386,27,34,54,86,18,16,55,47,102,10,18,23,2
205,Terrance Ferguson,OKC,56,1257,21,78,220,220,31,51,23,51,74,27,15,20,17
206,Bruno Fernando,ATL,56,713,21,103,199,240,42,49,67,131,198,18,29,51,17
207,Yogi Ferrell,SAC,50,530,26,79,188,218,28,69,6,43,49,18,36,42,4
208,Dorian Finney-Smith,DAL,71,2120,26,243,522,678,69,114,145,260,405,45,78,108,39
209,Bryn Forbes,SAS,63,1579,26,242,581,707,57,108,12,114,126,33,75,90,0
210,Evan Fournier,ORL,66,2076,27,434,929,1221,125,209,18,153,171,71,180,220,15
211,De'Aaron Fox,SAC,51,1634,22,391,815,1077,158,348,35,161,196,74,241,342,25
212,Melvin Frazier,ORL,19,126,23,15,34,40,5,3,2,8,10,9,2,4,2
213,Michael Frazier,HOU,13,145,25,7,29,27,5,2,1,9,10,2,9,14,0
214,Tim Frazier,DET,27,355,29,34,94,97,36,93,9,24,33,14,19,24,4
215,Enes Freedom,BOS,58,983,27,199,348,469,56,56,163,268,431,22,70,99,41
